county,case_number,case_id,case_created_at,case_status,case_decision_date,case_title,municipality,handling_number,handling_id,handling_date,handling_title,sender_recipient,case_kind,direct_supervision,target_organisation_name,target_identifiable,trigger_family,problem_domain,mandatory_action_likelihood,external_purchase_likelihood,metadata_specificity,timing_quality,commercial_relevance,likely_supplier_categories,document_required_for_understanding,supplier_already_engaged,manual_notes
Dalarna,6142-2026,5553214,2026-07-02,Handläggning,,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning för att anlägga ett nytt bergsspel inkl ny lave, Hedemora kommun",Hedemora,6142-2026-4,,2026-07-15,Föreläggande om försiktighetsmått vid schaktarbeten,Boliden Mineral AB,CONTAMINATED_SITE_SUPERVISION,YES,Boliden Mineral AB,COMPANY,ENFORCEMENT_ORDER,CONTAMINATED_LAND,HIGH,MEDIUM,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Precaution order on Boliden excavation already notified; LATE.
Dalarna,6413-2026,5560589,2026-07-10,Handläggning,,"Anmälan om driftstörning vid Arctic Paper Grycksbo, Läckage av transformatorolja till invallning, Falun kommun",Falun,6413-2026-1,,2026-07-10,"Anmälan om driftstörning vid Arctic Paper Grycksbo, Läckage av transformatorolja till invallning, Falun kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Arctic Paper Grycksbo AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,6413-2026,5560589,2026-07-10,Handläggning,,"Anmälan om driftstörning vid Arctic Paper Grycksbo, Läckage av transformatorolja till invallning, Falun kommun",Falun,6413-2026-3,,2026-08-12,Meddelande om återkoppling oljeläckage,Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Arctic Paper Grycksbo AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,6474-2026,5561853,2026-07-13,Avslutat,2026-08-13,"Anmälan om driftstörning vid Stora Enso Fors AB, Utsläpp av vedgårdsvatten till Forsån, Avesta kommun",Avesta,6474-2026-1,,2026-07-13,"Anmälan om driftstörning vid Stora Enso Fors AB, Utsläpp av vedgårdsvatten till Forsån, Avesta kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Stora Enso Fors AB,COMPANY,INCIDENT_REPORT,UNKNOWN,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,-,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,6706-2026,5569398,2026-07-27,Handläggning,,"Planerat tillsynsbesök på Bergkvist Siljan Blyberg AB, Älvdalens kommun",Älvdalen,6706-2026-5,,2026-08-26,Tillsynsrapport efter tillsynsbesök,Bergkvist Siljan Blyberg AB,DIRECT_SUPERVISION,YES,Bergkvist Siljan Blyberg AB,COMPANY,INSPECTION_REPORT,WASTE,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,waste management consultants; waste handling equipment; environmental law,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Dalarna,6728-2026,5570263,2026-07-28,Handläggning,,"Tillsyn av Hedlunds Trävaru AB, Rättviks kommun",Handlingar,6728-2026-3,,2026-09-07,"Tillsynsrapport efter tillsynsbesök, Hedlunds Trävaru AB, Rättviks kommun",Hedlunds Trävaru AB,DIRECT_SUPERVISION,YES,Hedlunds Trävaru AB,COMPANY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Dalarna,6731-2026,5570371,2026-07-28,Avslutat,2026-09-10,"Tillsyn av Rågsveden- Sveden Trä, Vansbro kommun",Handlingar,6731-2026-3,,2026-09-10,Tillsynsrapport efter tillsynsbesök,Rågsveden- Sveden Trä AB,DIRECT_SUPERVISION,YES,Rågsveden- Sveden Trä AB,COMPANY,INSPECTION_REPORT,AIR_EMISSIONS,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,emission measurement firms (accredited); flue-gas treatment & filter suppliers; process consultants,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Dalarna,6740-2026,5570736,2026-07-29,Avslutat,2026-07-30,"Anmälan om driftstörning vid Outokumpu Stainless AB, Köldmedialäckage, Avesta kommun",Avesta,6740-2026-1,,2026-07-29,"Anmälan om driftstörning vid Outokumpu Stainless AB, Köldmedialäckage, Avesta kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Outokumpu Stainless AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,6878-2026,5576011,2026-08-07,Beslutat,2026-09-18,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning, Borlänge kommun",Borlänge,6878-2026-1,,2026-08-07,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning, Borlänge kommun",Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,EcoDC Borlänge AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Dalarna,6878-2026,5576011,2026-08-07,Beslutat,2026-09-18,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning, Borlänge kommun",Borlänge,6878-2026-2,,2026-08-12,Kompletteringsbegäran till §28-anmälan om ledningsschakt öster,EcoDC,CONTAMINATED_SITE_SUPERVISION,YES,EcoDC Borlänge AB,COMPANY,INVESTIGATION_REQUIRED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,"Rule-based classification, not individually reviewed."
Dalarna,6878-2026,5576011,2026-08-07,Beslutat,2026-09-18,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning, Borlänge kommun",Borlänge,6878-2026-6,,2026-09-18,Beslut om förbud mot att påbörja markarbeten (ledningsschakt öster),Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,EcoDC Borlänge AB,COMPANY,ENFORCEMENT_ORDER,CONTAMINATED_LAND,HIGH,MEDIUM,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Prohibition to start trenching until questions are answered; EcoDC already has a consultant on the 28 § notification.
Dalarna,6975-2026,5579177,2026-08-12,Handläggning,,"Anmälan om efterbehandlingsåtgärd enligt 28 § förordning och miljöfarlig verksamhet och hälsoskydd, f d Gotthard Aluminium AB, Avesta kommun",Avesta,6975-2026-1,,2026-08-12,"Anmälan om efterbehandlingsåtgärd enligt 28 § förordning och miljöfarlig verksamhet och hälsoskydd, f d Gotthard Aluminium AB, Avesta kommun",Sveriges Geologiska undersökning,CONTAMINATED_SITE_SUPERVISION,YES,Gotthard Aluminium AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Dalarna,6975-2026,5579177,2026-08-12,Handläggning,,"Anmälan om efterbehandlingsåtgärd enligt 28 § förordning och miljöfarlig verksamhet och hälsoskydd, f d Gotthard Aluminium AB, Avesta kommun",Avesta,6975-2026-4,,2026-08-26,Beslut om försiktighetsmått avseende markarbeten inom objektet Fd Gotthard aluminium,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Gotthard Aluminium AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Dalarna,7059-2026,5581375,2026-08-13,Avslutat,2026-09-04,"Klagomål på vibrationer, Boliden Mineral AB, Hedemora kommun",Hedemora,7059-2026-4,,2026-09-04,Tjänsteanteckning vid besiktning/tillsyn,Personuppgift,COMPLAINT,PARTIAL,Boliden Mineral AB,COMPANY,INSPECTION_REPORT,GENERAL_SUPERVISION,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,environmental consultants (compliance / egenkontroll); EHS software,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Dalarna,7064-2026,5581495,2026-08-17,Handläggning,,Redovisning av förslag på kontrollprogram för Avliksdeponin,Falun,7064-2026-2,,2026-08-25,Begäran om komplettering av Provtagningsprogram för Alvik,Personuppgift,DIRECT_SUPERVISION,YES,Actic paper Grycksbo AB,COMPANY,CONTROL_PROGRAMME,WASTE,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,waste management consultants; waste handling equipment; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Arctic Paper asked to complete a sampling programme for a landfill; consultant work likely.
Dalarna,7106-2026,5582917,2026-08-18,Handläggning,,"Anmälan om klagomål gällande buller från Ovako Bar AB, Smedjebackens kommun",Smedjebacken,7106-2026-1,,2026-08-18,"Anmälan om klagomål gällande buller från Ovako, Smedjebackens kommun",Personuppgift,COMPLAINT,PARTIAL,Ovako Bar AB,COMPANY,COMPLAINT_RECEIVED,NOISE,LOW,MEDIUM,SPECIFIC,EARLY,MEDIUM,acoustic consultants; noise abatement suppliers,DOCUMENT_WOULD_IMPROVE,NO,"Reviewed. Noise complaint against Ovako; a later handling says a noise survey will be carried out, i.e. consultant engaged after this date."
Dalarna,7266-2026,5588114,2026-08-25,Avslutat,2026-09-04,"Anmälan om driftsstörning vid Outokumpu Stainless AB, Överskridande av riktvärde för oljeindex i dagvatten från skrotgård (5,9 mg/L).Riktvärdet är 5 mg/L, Avesta kommun",Avesta,7266-2026-1,,2026-08-25,"Anmälan om driftsstörning vid Outokumpu Stainless AB, Överskridande av riktvärde för oljeindex i dagvatten från skrotgård (5,9 mg/L).Riktvärdet är 5 mg/L, Avesta kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Outokumpu Stainless AB,COMPANY,INCIDENT_REPORT,STORMWATER_PROCESS_WATER,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,stormwater / water treatment consultants; oil separator & filtration suppliers; labs,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,7301-2026,5588870,2026-08-25,Handläggning,,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för hantering och provtagning av massor inför bygget av centralbron, Falu kommun",Falun,7301-2026-1,,2026-08-25,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för hantering och provtagning av massor inför bygget av centralbron, Falu kommun",Falu kommun,CONTAMINATED_SITE_SUPERVISION,YES,Falu kommun,PUBLIC_BODY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Dalarna,7441-2026,5593470,2026-08-31,Handläggning,,"Anmälan om driftsstörning vid Ovako Bar AB Smedjebacken, släckvatten efter brand under ugn i stålverk, Smedjebacken kommun",Smedjebacken,7441-2026-1,,2026-08-31,"Anmälan om driftsstörning vid Ovako Bar AB Smedjebacken, släckvatten efter brand under ugn i stålverk, Smedjebacken kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Ovako Bar AB,COMPANY,INCIDENT_REPORT,FIRE,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,fire protection consultants & equipment; insurance-driven remediation,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,7480-2026,5594873,2026-08-31,Handläggning,,"Anmälan om avhjälpandeåtgärder i förorenad mark enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd gällande schaktning i förorenat område vid vårt borrkärnsarkiv, Hedemora kommun",Handlingar,7480-2026-1,,2026-08-31,"Anmälan om avhjälpandeåtgärder i förorenad mark enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd gällande schaktning i förorenat område vid vårt borrkärnsarkiv, Hedemora kommun",Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Boliden Mineral AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Dalarna,7480-2026,5594873,2026-08-31,Handläggning,,"Anmälan om avhjälpandeåtgärder i förorenad mark enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd gällande schaktning i förorenat område vid vårt borrkärnsarkiv, Hedemora kommun",Handlingar,7480-2026-2,,2026-09-04,Föreläggande om försiktighetsmått vid schaktarbeten vid borrkärnsarkivet,Boliden Mineral AB,CONTAMINATED_SITE_SUPERVISION,YES,Boliden Mineral AB,COMPANY,ENFORCEMENT_ORDER,CONTAMINATED_LAND,HIGH,MEDIUM,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Precaution order on Boliden drill-core archive excavation; LATE.
Dalarna,7480-2026,5594873,2026-08-31,Handläggning,,"Anmälan om avhjälpandeåtgärder i förorenad mark enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd gällande schaktning i förorenat område vid vårt borrkärnsarkiv, Hedemora kommun",Handlingar,7480-2026-4,,2026-09-18,Meddelande om start av efterbehandling,Boliden Mineral AB,CONTAMINATED_SITE_SUPERVISION,YES,Boliden Mineral AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Dalarna,7777-2026,5604214,2026-09-09,Handläggning,,"Planerat tillsynsbesök på Boliden Mineral AB, sevesolagstiftningen, Hedemora kommun",Hedemora,7777-2026-2,,2026-09-11,"Meddelande om dagordning, Boliden Mineral AB",Boliden Mineral AB,DIRECT_SUPERVISION,YES,Boliden Mineral AB,COMPANY,SUPERVISION_VISIT_SCHEDULED,CHEMICALS_SEVESO,LOW,MEDIUM,GENERIC,EARLY,MEDIUM,Seveso / process-safety consultants; chemical storage & containment suppliers; fire protection,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Planned visit; possible pre-visit compliance need but no concrete problem in metadata.
Dalarna,8252-2026,5620889,2026-09-21,Handläggning,,"Anmälan om driftstörning, oljespill, Hedboberget, turbin 7, 14, 15, Rättviks kommun",Handlingar,8252-2026-1,,2026-09-21,"Anmälan om driftstörning, oljespill, Hedboberget, turbin 7, 14, 15, Rättviks kommun",OX2,ENVIRONMENTAL_INCIDENT,PARTIAL,OX2,ORG_NAMED,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,8290-2026,5622202,2026-09-22,Handläggning,,"Anmälan om driftsstörning vid Vindkraft Svartnäsområdet, Oljeläckage, vid verk 1, Falun kommun",Falun,8290-2026-1,,2026-09-22,"Anmälan om driftsstörning vid Vindkraft Svartnäsområdet, Oljeläckage, Falun kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Svartnäs Vindkraft AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Dalarna,8355-2026,5624096,2026-09-23,Handläggning,,"Anmälan om driftsstörning vid Vindkraft Svartnäsområdet, Ett oljespill vid verk 30, Falun kommun",Falun,8355-2026-1,,2026-09-23,"Anmälan om driftsstörning vid Vindkraft Svartnäsområdet, Ett oljespill vid verk 30, Falun kommun",Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Svartnäs Vindkraft AB,COMPANY,INCIDENT_REPORT,SPILL_LEAK,MEDIUM,MEDIUM,SPECIFIC,TIMELY,MEDIUM,spill response & remediation contractors; containment equipment; environmental consultants,DOCUMENT_WOULD_IMPROVE,NO,Rule-based. Operator self-report; corrective action usually already handled in-house or via existing service partner.
Halland,5395-2026,5579583,2026-07-03,Handläggning,,Rapport om kvartalsrapport nr 2 för Sanering Renen,Handlingar,5395-2026-1,,2026-07-03,Rapport om kvartalsrapport nr 2 för Sanering Renen,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Varbergs kommun,PUBLIC_BODY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Halland,6447-2026,5611218,2026-09-10,Handläggning,,Meddelande om klagomål,Handlingar,6447-2026-2,,2026-09-18,Tjänsteanteckning om platsbesök,Länsstyrelsen i Hallands län,COMPLAINT,PARTIAL,Stena Recycling AB,COMPANY,INSPECTION_REPORT,UNKNOWN,MEDIUM,MEDIUM,GENERIC,TIMELY,MEDIUM,-,DOCUMENT_REQUIRED,NO,"Rule-based. Inspection report content (deficiencies, demands) not visible in metadata; document required."
Jönköping,6025-2026,5578146,2026-08-11,Handläggning,,"Anmälan om avhjälpandeåtgärder, Vetlanda kommun",Vetlanda,6025-2026-1,,2026-08-11,"Anmälan om avhjälpandeåtgärder, Vetlanda kommun",Feralco Nordic AB,CONTAMINATED_SITE_SUPERVISION,YES,Feralco Nordic AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Jönköping,6025-2026,5578146,2026-08-11,Handläggning,,"Anmälan om avhjälpandeåtgärder, Vetlanda kommun",Vetlanda,6025-2026-2,,2026-08-31,Meddelande synpunkter på provtagningsplan anmälan om avhjälpandeåtgärd utlastning Feralco,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Feralco Nordic AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
