source_process,document_type,case_number,case_title,case_status,document_number,document_date,organisation_name,organisation_number,workplace_name,workplace_cfar,county,municipality,deficiency_family,specificity,deficiency_detail,required_action,purchase_type,supplier_category,incumbent_risk,purchase_value,timing,metadata_sufficiency,earliest_public_title,earliest_public_date,days_before_sanction,inspection_message_before,chronology_sampled
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/043417,Sanktionsavgift - Utstationering - Arbetsgivarens anmälan - Brist,Avslutat,2025/043417-3,2025-10-01,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/052676,Sanktionsavgift - avsaknad av skriftligt tillstånd - truck,Avslutat,2025/052676-1,2025-10-01,JEHANA FOODS AB,5591021851,JEHANA FOODS AB,58266164,ÖSTERGÖTLANDS LÄN,Linköping,FORKLIFT_PERMIT,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,"Issue written truck permits, which presupposes documented forklift training",TRAINING,Forklift training provider,LOW,LOW,TIMELY,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/053251,Sanktionsavgift - Fallrisk,Avslutat,2025/053251-1,2025-10-01,GLAS1 STOCKHOLM AB,5564008109,GLAS1 STOCKHOLM AB,29205101,STOCKHOLMS LÄN,Huddinge,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/055561,Sanktionsavgift - ordinarie arbetstid,Avslutat,2025/055561-1,2025-10-01,LILLA KVARTERSKROGEN I BORÅS AKTIEBOLAG,5563643435,LILLA KVARTERSKROGEN I BORÅS AKTIEBOLAG,28486157,VÄSTRA GÖTALANDS LÄN,Borås,WORKING_TIME,GENERIC,,Working-time compliance (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/058608,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/058608-1,2025-10-01,GILLIS STÄLLNINGAR AB,5566985866,GILLIS STÄLLNINGAR AB,45267770,STOCKHOLMS LÄN,Stockholm,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/058834,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/058834-1,2025-10-01,PEAB BYGGSERVICE AKTIEBOLAG,5560663675,PEAB BYGGSERVICE AKTIEBOLAG,68500230,KRONOBERGS LÄN,Växjö,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059031,Sanktionsavgift ATL - ordinarie arbetstid (5 §) och mertid (10 §),Pågående,2025/059031-1,2025-10-01,NAMFON THAI RESTAURANG AB,5592398845,Saknas,,VÄSTRA GÖTALANDS LÄN,Göteborg,WORKING_TIME,GENERIC,,Working-time compliance (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/043219,Sanktionsavgift - Utstationering - Arbetsgivarens anmälan,Pågående,2025/043219-4,2025-10-02,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/048994,Sanktionsavgift - fallrisk,Avslutat,2025/048994-1,2025-10-02,JIAB STÄLLNINGSMONTAGE AB,5567526974,JIAB STÄLLNINGSMONTAGE AB,54121595,NORRBOTTENS LÄN,Luleå,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/056487,Sanktionsavgift - besiktning av lyftanordningar och vissa andra tekniska anordningar,Avslutat,2025/056487-1,2025-10-02,CRTG ENGINEERING (SWEDEN) AB,5591710933,CRTG ENGINEERING (SWEDEN) AB,60455037,STOCKHOLMS LÄN,Stockholm,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_RELATED_UNSPECIFIED,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/060736,Sanktionsavgift - Utstationering - Arbetsgivarens anmälan,Avslutat,2025/060736-3,2025-10-02,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/041367,Sanktionsavgift - avvikelse veckovila,Avslutat,2025/041367-1,2025-10-03,DÄCKMARKET SVERIGE AB,5568562069,DÄCKMARKET SVERIGE AB,51187854,STOCKHOLMS LÄN,Stockholm,WORKING_TIME,GENERIC,,Working-time compliance (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/057817,Sanktionsavgift – Utstationering - Arbetsgivarens anmälan,Avslutat,2025/057817-3,2025-10-03,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059600,Sanktionsavgift - Utstationering - Arbetsgivares anmälan,Avslutat,2025/059600-3,2025-10-03,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059603,Sanktionsavgift - Utstationering - Tjänstemottagare,Avslutat,2025/059603-3,2025-10-03,ENERCON GMBH GERMANY FILIAL,5164071630,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/033471,Sanktionsavgift - besiktningsintyg teknisk anordning,Avslutat,2025/033471-1,2025-10-06,TERZIC TRANSPORT AB,5568740061,TERZIC TRANSPORT AB,51678167,SKÅNE LÄN,Helsingborg,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,CERTIFICATE_NOT_AVAILABLE,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/043570,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/043570-1,2025-10-06,,,Saknas,47476999,SKÅNE LÄN,Klippan,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/051994,Sanktionsavgift - Utstationering - Arbetsgivarens anmälan,Pågående,2025/051994-3,2025-10-06,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/053498,Sanktionsavgift - fallrisk,Pågående,2025/053498-1,2025-10-06,SMÅSTEG AB,5593108821,SMÅSTEG AB,67374538,STOCKHOLMS LÄN,Stockholm,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,"Inspektion - Omedelbart förbud 20250902 - Fallrisk - Äppelviksvägen 10, Bromma",2025-09-02,34,,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/044333,Sanktionsavgift - avsaknad av kontroll av funktion och prestanad hos anordningar - kvartsdamm,Avslutat,2025/044333-1,2025-10-07,HOLMGREN BYGG I GÄVLE AB,5566124326,HOLMGREN BYGG I GÄVLE AB,40855686,GÄVLEBORGS LÄN,Gävle,QUARTZ_RISK_ASSESSMENT,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,Document quartz-dust risk assessment / measurements,ADMIN_OR_MEASUREMENT,Occupational hygiene consultant,LOW,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/044337,Sanktionsavgift - avsaknad av kontroll av funktion och prestanad hos anordningar - kvartsdamm,Avslutat,2025/044337-1,2025-10-07,BYGGCONSTRUCT UPPSALA AB,5564931318,BYGGCONSTRUCT UPPSALA AB,32334831,UPPSALA LÄN,Uppsala,QUARTZ_RISK_ASSESSMENT,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,Document quartz-dust risk assessment / measurements,ADMIN_OR_MEASUREMENT,Occupational hygiene consultant,LOW,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,187,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/060051,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/060051-1,2025-10-07,MOELVEN BYGGMODUL AKTIEBOLAG,5563107134,MOELVEN BYGGMODUL AKTIEBOLAG,16127995,VÄRMLANDS LÄN,Säffle,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/027487,Sanktionsavgift - fallrisk,Avslutat,2025/027487-1,2025-10-09,HELLSTRÖMS BYGG AB,5593497034,HELLSTRÖMS BYGG AB,68339092,NORRBOTTENS LÄN,Piteå,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/044133,Sanktionsavgift - avsaknad av kontroll trycksatt anordning - tryckkärl,Avslutat,2025/044133-4,2025-10-09,OK-Q8 AB,5560273244,HUVUDKONTOR,10223600,STOCKHOLMS LÄN,Stockholm,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/055016,Sanktionsavgift - fallrisk,Pågående,2025/055016-1,2025-10-09,ÖREGRUND BYGG AB,5565070165,ÖREGRUND BYGG AB,32587032,UPPSALA LÄN,Östhammar,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/055720,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/055720-1,2025-10-09,RENTA AB,5566210737,ESKILSTUNA,66678483,SÖDERMANLANDS LÄN,Eskilstuna,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059103,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/059103-1,2025-10-09,,,Saknas,67565523,SKÅNE LÄN,Malmö,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059275,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/059275-1,2025-10-09,SM ENTREPRENAD AKTIEBOLAG,5561939215,SM ENTREPRENAD AKTIEBOLAG,17667775,ÖSTERGÖTLANDS LÄN,Söderköping,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059492,Sanktionsavgift - avsaknad av kontroll trycksatt anordning - tryckkärl,Avslutat,2025/059492-1,2025-10-09,JNA BILSERVICE AB,5590412531,JNA BILSERVICE AB,56655715,STOCKHOLMS LÄN,Stockholm,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059508,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/059508-1,2025-10-09,,,Saknas,71385181,STOCKHOLMS LÄN,Huddinge,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059531,Sanktionsavgift - avsaknad av fallskydd,Avslutat,2025/059531-1,2025-10-09,UPPGÅNG AB,5594514472,UPPGÅNG AB,70806021,STOCKHOLMS LÄN,Stockholm,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,INSPECTION_OR_CERTIFICATE_MISSING,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/060483,Sanktionsavgift - avsaknad av besiktning lyftanordning - bakgavellyft,Avslutat,2025/060483-1,2025-10-09,BORRKUNGEN AB,5591823231,BORRKUNGEN AB,60219524,STOCKHOLMS LÄN,Haninge,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/061197,"Sanktionsavgift - trycksatt anordning, avsaknad av dokumenterade rutiner 9 kap 38 § (AFS 2023:11)",Avslutat,2025/061197-1,2025-10-09,GIRA BIL I ÅNGE AKTIEBOLAG,5563194876,GIRA BIL I ÅNGE AKTIEBOLAG,10316503,VÄSTERNORRLANDS LÄN,Ånge,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/023524,Sanktionsavgift – Utstationering - Arbetsgivarens anmälan,Avslutat,2025/023524-7,2025-10-10,,,Saknas,,,,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/055418,Sanktionsavgift - fallrisk,Avslutat,2025/055418-1,2025-10-10,ADEFICATOR BYGG OCH FASTIGHETSKONSULT AKTIEBOLAG,5567299275,ADEFICATOR BYGG OCH FASTIGHETSKONSULT AKTIEBOLAG,49356322,STOCKHOLMS LÄN,Södertälje,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/060231,Sanktionsavgift - avsaknad av besiktning lyftanordning - bakgavellyft,Pågående,2025/060231-1,2025-10-10,,,Saknas,69063865,HALLANDS LÄN,Halmstad,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/030275,Sanktionsavgift för att inte ha förebyggt fallrisk,Avslutat,2025/030275-1,2025-10-13,ENT GROUP AB,5591075857,ENT GROUP AB,58448523,GÄVLEBORGS LÄN,Hudiksvall,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/059860,Sanktionsavgift - trycksatt anordning,Avslutat,2025/059860-1,2025-10-13,FLOCKING TECHNOLOGY SYSTEM SVENSKA AB,5566456033,FLOCKING TECHNOLOGY SYSTEM SVENSKA AB,42192500,STOCKHOLMS LÄN,Stockholm,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
